variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
643284,0,,,
643285,0,642905,,
643287,0,642905,,
643288,0,,,
643293,0,642907,1479,
643294,0,642906,,
643295,0,642906,,
643297,0,,,
643298,0,,,
643299,0,642906,,1478
643300,0,,,
643303,0,,,
643305,0,642909,,1637
643306,0,,,
643308,0,,,
643311,0,642908,1636,
643315,0,642908,,1527
643316,0,642909,1528,
643317,0,,,
643320,0,642909,1528,
643323,0,642908,,1527
643325,0,,,
643329,0,642911,,1527
643330,0,642910,1528,
643337,0,642913,1536,
643340,0,642912,1496,
643341,0,642913,2033,
643346,0,642913,,1497
643349,0,642914,2033,
643351,0,642915,,1343
643352,0,642915,,1709
643353,0,642914,,1344
643354,0,642914,1619,
643355,0,642915,1660,
643361,0,,,
643362,0,642917,2959,
643363,0,642917,1609,
643365,0,642916,,1610
643369,0,,,
643372,0,642918,1636,
643374,0,642919,1609,
643377,0,642918,,1610
643380,0,642919,,1637
643381,0,642918,1636,
643382,0,,,
643383,0,,,
643384,0,642920,,1527
643385,0,642920,1623,
643386,0,642921,1680,
643387,0,642921,1528,
643388,0,642921,1528,
643389,0,642921,,1396
643391,0,642922,3772,
643392,0,642922,1680,
643393,0,,,
643395,0,642922,,1680
643396,0,642923,1868,
643398,0,,,
643404,0,642925,,2817
643406,0,642924,1564,
643408,0,642924,,1442
643409,0,642924,1581,
643411,0,642925,1614,
643412,0,,,
643415,0,642925,1414,
643420,0,,,
643425,0,642926,,1396
643426,0,,,
643435,0,642928,1411,
643436,0,642927,3523,
643437,0,642927,1409,
643440,0,,,
643441,0,642928,,2820
643442,0,642927,,1412
643450,0,642929,,1420
643452,0,642930,,1637
643453,0,642930,1419,
643455,0,642929,1636,
643461,0,,,
643463,0,642932,,1547
643464,0,,,
643468,0,642931,1636,
643469,0,642931,1548,
643470,0,642931,1548,
643473,0,642932,1419,
643475,0,642931,,1420
643476,0,642933,,2819
643477,0,642934,,3521
643478,0,642934,1411,
643479,0,642934,2820,
643480,0,642933,,1412
643483,0,642933,2959,
643484,0,642935,,1542
643486,0,642935,,1412
643487,0,642936,1411,
643489,0,642935,1482,
643490,0,642936,,1483
643491,0,,,
643492,0,642936,,1410
643494,0,,,
643495,0,,,
643496,0,642938,,3545
643497,0,642937,1457,
643498,0,642938,1623,
643501,0,,,
643503,0,642937,,1396
643505,0,642940,1541,
643506,0,642939,,2819
643507,0,,,
643508,0,642940,,2820
643509,0,642939,1397,
643510,0,,,
643511,0,642942,,2820
643512,0,642941,,2819
643513,0,642941,1397,
643514,0,642942,1541,
643518,0,642943,,1478
643521,0,642944,1619,
643522,0,642944,1479,
643527,0,642944,,1344
643528,0,642943,1593,
643529,1,,,
643530,1,,,
643531,1,,,
643532,1,,,
643533,1,,,
643534,1,,,
643535,1,,,
643536,1,,,
643537,1,,,
643538,1,,,
643539,1,,,
643540,1,,,
643541,1,,,
643542,1,,,
643543,1,,,
643544,1,,,
643545,1,,,
643546,1,,,
643547,0,,,
643549,0,,,
643551,0,,,
643552,0,,,
643554,0,,,
643555,0,,,
643556,0,,,
643558,0,,,
643559,0,,,
643560,0,,,
643561,0,,,
643562,0,,,
643563,0,,,
643564,0,,,
643565,0,,,
643567,0,,,
643568,0,,,
643569,0,,,
643570,0,,,
643571,0,,,
643574,0,,,
643575,0,,,
643576,0,,,
643577,0,,,
643578,0,,,
643579,0,,,
643580,0,,,
643581,0,,,
643582,0,,,
643583,0,,,
643584,0,,,
643585,0,,,
643586,0,,,
643587,0,,,
643588,0,,,
643590,0,,,
643591,0,,,
643592,0,,,
643593,0,,,
643594,0,,,
643595,0,,,
643596,0,,,
643597,0,,,
643598,0,,,
643599,0,,,
643600,0,,,
643601,0,,,
643602,0,,,
643603,0,,,
643605,0,,,
643607,0,,,
643609,0,,,
643610,0,,,
643611,0,,,
643612,0,,,
643613,0,,,
643614,0,,,
643615,0,,,
643616,0,,,
643617,0,,,
643618,0,,,
643619,0,,,
643624,0,,,
643625,0,,,
643626,0,,,
643627,0,,,
643628,0,,,
643629,0,,,
643630,0,,,
643631,0,,,
643632,0,,,
643633,0,,,
643634,0,,,
643635,0,,,
643636,0,,,
643637,0,,,
643638,0,,,
643639,0,,,
643640,0,,,
643641,0,,,
643642,0,,,
643643,1,,,
643644,1,,,
643645,1,,,
643646,1,,,
643647,1,,,
643649,1,,,
643650,1,,,
643655,0,,,
643656,0,,,
643658,0,,,
643661,0,,,
643662,0,,,
643665,0,,,
643668,0,,,
643669,0,,,
643677,0,,,
643680,0,,,
643681,0,,,
643682,0,,,
643683,0,,,
643690,0,,,
643691,0,,,
643693,0,,,
643697,0,,,
643698,0,,,
643706,0,,,
643708,0,,,
643710,0,,,
643712,0,,,
643716,0,,,
643723,0,,,
643724,0,,,
643725,0,,,
643726,0,,,
643727,0,,,
643730,1,,,
643731,1,,,
643732,1,,,
643733,1,,,
643734,1,,,
643735,1,,,
643736,1,,,
643737,1,,,
643738,0,,,
643739,0,,,
643741,0,,,
643742,0,,,
643743,0,,,
643744,0,,,
643745,0,,,
643746,0,,,
643747,0,,,
643748,0,,,
643749,0,,,
643753,0,,,
643755,0,,,
643756,0,,,
643757,0,,,
643758,1,,,
643759,1,,,
643760,0,,,
643761,0,,,
643762,0,,,
643763,0,,,
643764,0,,,
643765,0,,,
643766,0,,,
643767,0,,,
643768,0,,,
643770,0,,,
643771,0,,,
643772,1,,,
643773,1,,,
643774,1,,,
643775,1,,,
643776,1,,,
643777,1,,,
643778,1,,,
643779,1,,,
643781,0,,,
643782,0,,,
643793,0,,,
643796,0,,,
643797,0,,,
643798,0,,,
645148,1,,,
645149,1,,,
645151,1,,,
645153,1,,,
645154,1,,,
645155,1,,,
645156,1,,,
645157,1,,,
645158,1,,,
645159,1,,,
645160,1,,,
645161,1,,,
645162,1,,,
645163,1,,,
645164,1,,,
645165,1,,,
645166,1,,,
645167,1,,,
645168,1,,,
645169,1,,,
645170,1,,,
645171,1,,,
